Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HEXAWARE,EQ,16-Nov-18,315.5,316.75,316.8,305,308.4,309.2,309.19,2101702,649834258.5,40500,728659,34.67
HEXAWARE,EQ,19-Nov-18,309.2,310,316,308.55,313.15,312.9,312.99,1028439,321890538.4,18488,203824,19.82
HEXAWARE,EQ,20-Nov-18,312.9,312.8,315,307.15,309.25,308.75,311.54,1451455,452182705,31901,602468,41.51
HEXAWARE,EQ,21-Nov-18,308.75,310.25,310.25,301.1,303,303.8,303.41,1951757,592183101.7,42866,501294,25.68
HEXAWARE,EQ,22-Nov-18,303.8,303.75,310.85,303,305.4,307.4,307.01,1100593,337889425.5,22815,280119,25.45
HEXAWARE,EQ,26-Nov-18,307.4,305.4,314.35,294.3,310.5,310.9,302.55,2282399,690538799,35802,411525,18.03
HEXAWARE,EQ,27-Nov-18,310.9,313.4,316.9,306.2,306.9,308.05,310.22,1477634,458393782,37857,285220,19.3
HEXAWARE,EQ,28-Nov-18,308.05,308.45,315.3,306,311.45,311.5,311.52,1239665,386185791.9,17230,273255,22.04
HEXAWARE,EQ,29-Nov-18,311.5,315,319.5,308.8,315.65,314.5,315.49,1390806,438784256.4,32596,372683,26.8
HEXAWARE,EQ,30-Nov-18,314.5,316,329,313.45,323.3,323.95,323.45,2188045,707716451.2,42943,694922,31.76
HEXAWARE,EQ,03-Dec-18,323.95,325.95,329.8,318.75,327.15,327.1,325.31,1537371,500125430.9,25816,366013,23.81
HEXAWARE,EQ,04-Dec-18,327.1,328.45,334.9,324.5,331.85,331.4,331.93,2265508,751995294.2,41769,613576,27.08
HEXAWARE,EQ,05-Dec-18,331.4,331.35,333.9,320.4,325,325,326.31,1439740,469799862.6,20715,378174,26.27
HEXAWARE,EQ,06-Dec-18,325,322.9,326,316.55,319,320.65,321.37,1575708,506380909.2,54056,689243,43.74
HEXAWARE,EQ,07-Dec-18,320.65,320.5,321.1,311.15,316.6,316.05,316.11,1427998,451410653.2,42177,384095,26.9
